1.5	7.1	280.0	424.0	4.0	430.0	90.0	112.0	459.0	453.0
1.5	7.1	280.0	424.0	4.0	431.0	92.0	112.0	459.0	453.0
1.5	8.7	280.0	424.0	4.0	431.0	92.0	112.0	459.0	453.0
1.5	8.7	280.0	424.0	4.0	431.0	92.0	112.0	459.0	448.0
1.5	8.7	280.0	424.0	4.0	431.0	90.0	112.0	455.0	453.0
2.0	10.3	279.0	425.0	2.0	431.0	90.0	110.0	458.0	449.0
2.0	10.3	277.0	425.0	2.0	431.0	92.0	112.0	458.0	449.0
0.8	10.3	277.0	425.0	2.0	431.0	92.0	112.0	454.0	448.0
2.0	10.3	277.0	425.0	2.0	431.0	92.0	112.0	454.0	448.0
2.0	10.3	277.0	425.0	2.0	431.0	92.0	112.0	458.0	448.0
2.0	10.3	277.0	425.0	2.0	431.0	92.0	377.0	456.0	448.0
2.0	10.3	279.0	425.0	2.0	431.0	92.0	377.0	454.0	449.0
2.0	10.3	279.0	425.0	2.0	431.0	90.0	377.0	456.0	446.0
2.0	10.3	279.0	425.0	2.0	431.0	90.0	112.0	454.0	449.0
2.0	10.3	279.0	425.0	4.0	431.0	92.0	112.0	458.0	449.0
2.0	10.3	279.0	425.0	4.0	430.0	92.0	112.0	458.0	449.0
2.0	10.3	274.0	425.0	4.0	430.0	92.0	112.0	458.0	449.0
1.6	10.3	279.0	424.0	4.0	430.0	92.0	112.0	458.0	449.0
